gene_symbol	geneid	ensemblid	geneNcbiType	geneDSI	geneDPI	genepLI	uniprotids	protein_classid	protein_class_name	disease_name	diseaseType	diseaseUMLSCUI	diseaseClasses_MSH	diseaseClasses_UMLS_ST	diseaseClasses_DO	diseaseClasses_HPO	numCTsupportingAssociation	numPMIDs	chemicalsIncludedInEvidence	score	yearInitial	yearFinal	evidence_level	evidence_index	diseaseid
GP1BA	2811	ENSG00000185245	protein-coding	0.506	0.87	0.09978	L7UYB8|P07359	DTO_05007575	Receptor	Bernard Soulier Syndrome	disease	C0005129	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	33		1	1975	2021		0.905263157894737	C0005129
RAF1	5894	ENSG00000132155	protein-coding	0.407	0.913	1	L7RRS6|P04049|A0A0S2Z4L5	DTO_03300101	Kinase	Noonan Syndrome	disease	C0028326	Skin and Connective Tissue Diseases (C17)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Musculoskeletal Diseases (C05)|Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	syndrome (225)|genetic disease (630)		0	40		1	1986	2021		0.94	C0028326
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	P02649|A0A0S2Z3D5			Hyperlipoproteinemia Type III	disease	C0020479	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)		0	42		1	1981	2022		0.910112359550562	C0020479
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087WXZ1|A0A087X1Q1|H2EHT1|P04637|K7PPA8|A0A087WT22	DTO_05007542	Transcription factor	Squamous cell carcinoma	disease	C0007137	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Abnormality of the integument (01574)|Neoplasm (02664)	7	7		1	2006	2017		0.871727748691099	C0007137
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087WXZ1|A0A087X1Q1|H2EHT1|P04637|K7PPA8|A0A087WT22	DTO_05007542	Transcription factor	Carcinoma, Non Small Cell Lung	disease	C0007131	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	3	4		1	2007	2018		0.90258449304175	C0007131
ADRB2	154	ENSG00000169252	protein-coding	0.421	0.957	0.0010085	P07550|X5DQM5	DTO_02300001	G-protein coupled receptor	Asthma	disease	C0004096	Respiratory Tract Diseases (C08)|Immune System Diseases (C20)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the immune system (02715)|Abnormality of the respiratory system (02086)	3	0		1				0.878326996197719	C0004096
ALDOB	229	ENSG00000136872	protein-coding	0.567	0.826	2.309e-11	P05062			Fructose Intolerance	disease	C0016751	Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)	Abnormality of metabolism/homeostasis (01939)	0	75		1	1976	2021		0.980769230769231	C0016751
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|A0A087WXZ1|A0A087X1Q1|A0A087WT22|Q53GA5|K7PPA8|H2EHT1	DTO_05007542	Transcription factor	Gliomas	disease	C0017638	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Abnormality of the nervous system (00707)|Neoplasm (02664)	0	4		1	2006	2014		0.88715953307393	C0017638
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Cardiovascular Disease	disease	C0007222	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	5	1		1	2006	2006		0.887596899224806	C0007222
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|K7PPA8|A0A087WXZ1|A0A087X1Q1|Q53GA5|A0A087WT22|H2EHT1	DTO_05007542	Transcription factor	Liver cell carcinoma	disease	C2239176	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the digestive system (25031)	0	14		1	1991	2016		0.902033271719039	C2239176
PRNP	5621	ENSG00000171867	protein-coding	0.402	0.957	0.00032079	F7VJQ1|Q53YK7|P04156			Prion Diseases	disease	C0162534	Infections (C01)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of anatomical entity (7)|disease by infectious agent (0050117)		2	4		1	2001	2007		0.943548387096774	C0162534
IL1A	3552	ENSG00000115008	protein-coding	0.323	0.957	0.060574	P01583			Inflammations	phenotype	C0021368	Pathological Conditions, Signs and Symptoms (C23)	Pathologic Function (T046)			45	2		1	2011	2011		0.938967136150235	C0021368
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087WXZ1|A0A087X1Q1|H2EHT1|P04637|K7PPA8|A0A087WT22	DTO_05007542	Transcription factor	Adenocarcinoma	disease	C0001418	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)		4	5		1	1994	2012		0.848039215686275	C0001418
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|K7PPA8|A0A087WXZ1|A0A087X1Q1|Q53GA5|A0A087WT22|H2EHT1	DTO_05007542	Transcription factor	Dysmyelopoietic Syndrome	disease	C3463824	Hemic and Lymphatic Diseases (C15)	Neoplastic Process (T191)		Abnormality of blood and blood-forming tissues (01871)|Neoplasm (02664)	5	2		1	2016	2020		0.919282511210762	C3463824
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Diabetes Mellitus	disease	C0011849	Nutritional and Metabolic Diseases (C18)|Endocrine System Diseases (C19)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)	Abnormality of the endocrine system (00818)|Abnormality of metabolism/homeostasis (01939)	4	0		1				0.841666666666667	C0011849
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	Epilepsies	disease	C0014544	Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the nervous system (00707)	2	2		1	1995	2010		0.890756302521008	C0014544
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WT22|Q53GA5|P04637|A0A087WXZ1|K7PPA8|A0A087X1Q1|H2EHT1	DTO_05007542	Transcription factor	Osteogenic Sarcomas	disease	C0029463	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the musculoskeletal system (33127)|Neoplasm (02664)	0	5		1	1987	2016		0.914473684210526	C0029463
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087WXZ1|A0A087X1Q1|H2EHT1|P04637|K7PPA8|A0A087WT22	DTO_05007542	Transcription factor	Astrocytoma	disease	C0004114	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the nervous system (00707)|Neoplasm (02664)	0	3		1	2002	2015		0.931297709923664	C0004114
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|A0A087WXZ1|A0A087X1Q1|A0A087WT22|Q53GA5|K7PPA8|H2EHT1	DTO_05007542	Transcription factor	Esophageal Neoplasm	disease	C0014859	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	2	3		1	2003	2015		0.901785714285714	C0014859
ERBB2	2064	ENSG00000141736	protein-coding	0.298	0.957	0.059432	X5DNK3|P04626|F5H1T4|J3QLU9	DTO_03300101	Kinase	Neoplasm, Ovarian	disease	C0919267	Urogenital Diseases (C12)|Neoplasms (C04)|Endocrine System Diseases (C19)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Abnormality of the genitourinary system (00119)|Neoplasm (02664)	7	6		1	2000	2018		0.90185676392573	C0919267
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WXZ1|Q53GA5|K7PPA8|A0A087X1Q1|H2EHT1|A0A087WT22|P04637	DTO_05007542	Transcription factor	Diffuse Histiocytic Lymphoma	disease	C0079744	Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)|Immune System Diseases (C20)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		1	6		1	1999	2020		0.955357142857143	C0079744
ERBB2	2064	ENSG00000141736	protein-coding	0.298	0.957	0.059432	F5H1T4|J3QLU9|P04626|X5DNK3	DTO_03300101	Kinase	Neoplasm, Bladder	disease	C0005695	Urogenital Diseases (C12)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the genitourinary system (00119)	5	1		1	2021	2021		0.950819672131147	C0005695
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			Thromboses, Venous	phenotype	C0042487	Cardiovascular Diseases (C14)	Pathologic Function (T046)		Abnormality of blood and blood-forming tissues (01871)	12	3		1	1999	2009		0.916256157635468	C0042487
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	P02649|A0A0S2Z3D5			LPG	disease	C2673196	Urogenital Diseases (C12)	Disease or Syndrome (T047)			0	8		1	1988	2011		0.971428571428571	C2673196
SLC4A1	6521	ENSG00000004939	protein-coding	0.442	0.87	0.99999	P02730	DTO_05007405	Transporter	Renal Tubular Acidosis, Type I	disease	C1704380	Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Urogenital Diseases (C12)	Disease or Syndrome (T047)		Abnormality of the genitourinary system (00119)|Abnormality of metabolism/homeostasis (01939)	0	18		1	1972	2022		0.915254237288136	C1704380
ERBB2	2064	ENSG00000141736	protein-coding	0.298	0.957	0.059432	X5DNK3|J3QLU9|P04626|F5H1T4	DTO_03300101	Kinase	Neoplasm, Stomach	disease	C0038356	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	35	3		1	2004	2011		0.917214191852825	C0038356
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087WXZ1|A0A087X1Q1|H2EHT1|P04637|K7PPA8|A0A087WT22	DTO_05007542	Transcription factor	Cancer, Breast	disease	C0006142	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	4		1	2010	2019		0.897905759162304	C0006142
SHBG	6462	ENSG00000129214	protein-coding	0.394	0.957	3.2547e-11	P04278|B0FWH2|B0FWH8|I3L145			Adult-Onset Diabetes Mellitus	disease	C0011860	Nutritional and Metabolic Diseases (C18)|Endocrine System Diseases (C19)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)	Abnormality of the endocrine system (00818)|Abnormality of metabolism/homeostasis (01939)	8	1		1	2011	2011		0.89041095890411	C0011860
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Atherosclerosis	disease	C0004153	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	0	32		1	1997	2021		0.929460580912863	C0004153
ERBB2	2064	ENSG00000141736	protein-coding	0.298	0.957	0.059432	F5H1T4|J3QLU9|P04626|X5DNK3	DTO_03300101	Kinase	Carcinoma, Non Small Cell Lung	disease	C0007131	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	29	14		1	2004	2019		0.936902485659656	C0007131
ABL1	25	ENSG00000097007	protein-coding	0.395	0.913	1	P00519|Q59FK4	DTO_03300101	Kinase	Chronic myeloid leukemia	disease	C0279543	Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)|Pathological Conditions, Signs and Symptoms (C23)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the immune system (02715)|Abnormality of blood and blood-forming tissues (01871)	135	69		1	2001	2022		0.943478260869565	C0279543
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	F2YGG7|B7Z2I3|Q504U8|P00533|E7BSV0|C9JYS6	DTO_03300101	Kinase	Carcinoma, Non Small Cell Lung	disease	C0007131	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	224	127		1	1990	2019		0.945060694851402	C0007131
